Zone Name,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8,Channel9,Channel10,Channel11,Channel12,Channel13,Channel14,Channel15,Channel16,Channel17,Channel18,Channel19,Channel20,Channel21,Channel22,Channel23,Channel24,Channel25,Channel26,Channel27,Channel28,Channel29,Channel30,Channel31,Channel32,Channel33,Channel34,Channel35,Channel36,Channel37,Channel38,Channel39,Channel40,Channel41,Channel42,Channel43,Channel44,Channel45,Channel46,Channel47,Channel48,Channel49,Channel50,Channel51,Channel52,Channel53,Channel54,Channel55,Channel56,Channel57,Channel58,Channel59,Channel60,Channel61,Channel62,Channel63,Channel64,Channel65,Channel66,Channel67,Channel68,Channel69,Channel70,Channel71,Channel72,Channel73,Channel74,Channel75,Channel76,Channel77,Channel78,Channel79,Channel80
Simplex,FM 146.52,FM 146.53,FM 146.54,FM 146.55,FM 146.56,FM 146.57,FM 146.58,FM 147.52,FM 147.53,FM 147.54,FM 147.55,FM 147.56,FM 147.57,FM 147.58,FM 147.59,FM 147.60,FM 446.000,FM 446.025,FM 445.8,FM 445.825,FM 445.85,FM 445.875,FM 445.9,FM 445.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRS/GMRS,FRS 1,FRS 2,FRS 3,FRS 4,FRS 5,FRS 6,FRS 7,FRS 8 (IS),FRS 9 (IS),FRS 10 (IS),FRS 11 (IS),FRS 12 (IS),FRS 13 (IS),FRS 14 (IS),GMRS 1 (15),GMRS 2 (16),GMRS 3 (17),GMRS 4 (18),GMRS 5 (19),GMRS 6 (20),GMRS 7 (21),GMRS 8 (22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MURS,MURS 1,MURS 2,MURS 3,MURS 4 (Blue),MURS 5 (Green),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,NOAA 1,NOAA 2,NOAA 3,NOAA 4,NOAA 5,NOAA 6,NOAA 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
