Zone Name,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8,Channel9,Channel10,Channel11,Channel12,Channel13,Channel14,Channel15,Channel16,Channel17,Channel18,Channel19,Channel20,Channel21,Channel22,Channel23,Channel24,Channel25,Channel26,Channel27,Channel28,Channel29,Channel30,Channel31,Channel32,Channel33,Channel34,Channel35,Channel36,Channel37,Channel38,Channel39,Channel40,Channel41,Channel42,Channel43,Channel44,Channel45,Channel46,Channel47,Channel48,Channel49,Channel50,Channel51,Channel52,Channel53,Channel54,Channel55,Channel56,Channel57,Channel58,Channel59,Channel60,Channel61,Channel62,Channel63,Channel64,Channel65,Channel66,Channel67,Channel68,Channel69,Channel70,Channel71,Channel72,Channel73,Channel74,Channel75,Channel76,Channel77,Channel78,Channel79,Channel80
Favorites,Home Hotspot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNWDigital,BC:W.Vancvr,BC:N.Vancvr,BC:Nanaimo,BC:NewWstmnstr,BC:PortAlberni,BC:Squamish,BC:UBC,BC:Whistler,WA1:Sultan,WA1:BellinghamU,WA1:BellinghamV,WA1:Tulalip East,WA1:Tulalip West,WA3:Chehalis,WA3:Shelton,WA3:Ocean Shores,WA4:Ariel VHF,WA4:BrushPrairie,WA4:Kelso,WA4:Longview,WA4:Cathlamet,WA5:TacomaBaldiU,WA5:TacomaBaldiV,WA5:RavensRoostU,WA5:RavensRoostV,WA5:TacomaRuston,WA6:Bellevue UHF,WA6:Bellevue VHF,WA6:Issaquah UHF,WA6:Issaquah VHF,WA6:Shoreline,WA7:Ephrata,WA7:Mazama/Fawn,WA7:Mazama/Grizz,WA7:Lind,WA7:Wenatchee,WA7:Naneum Ridge,WA7:Winthrop,WA7:Ellensburg V,WA8:Yakima,WA8:Prosser,WA8:TriCitiesUHF,WA8:TriCitiesVHF,WA9:Palouse,WA9:SpokaneS UHF,WA9:SpokaneS VHF,WA9:SpokaneN UHF,WA9:SpknVly,OR:Dallas/CityV,OR:Manzanita,OR:Salem/Popcorn,OR:Bend/Powell,OR:Portland/PPMC,OR:SalemProspect,OR:Prineville,I84:HoodRvr/Burd,I84:CascadeLocks,I84:Trout Lake,I84:Bordmann,I84:MtHood/GCamp,I84:Gresham,I84:Biggs Junc,I84:Corbett,I84:HoodRvr/MtDe,I84:PDX/MtScott,I84:Pine Hollow,I84:Hillsboro,I84:The Dalles,I84:PDX/Sylvan,ID:CdA,ID:Lewiston,ID:SaintJoe,ID:Saint Maries,,,,,,,
SeattleDMR,Seattle Central,Seattle North,Seattle South,Seattle East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
